ID,Clee,Nombre de la Unidad EconÛmica,RazÛn social,CÛdigo de la clase de actividad SCIAN,Nombre de clase de la actividad,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Tipo de entre vialidad 1,Nombre de entre vialidad 1,Tipo de entre vialidad 2,Nombre de entre vialidad 2,Tipo de entre vialidad 3,Nombre de entre vialidad 3,N˙mero exterior o kilÛmetro,Letra exterior,Edificio,Edificio Piso,N˙mero interior,Letra interior,Tipo de asentamiento humano,Nombre de asentamiento humano,Tipo centro comercial,"Corredor industrial, centro comercial o mercado p˙blico",N˙mero de local,CÛdigo Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,Clave localidad,Localidad,¡rea geoestadÌstica b·sica ,Manzana,N˙mero de telÈfono,Correo electrÛnico,Sitio en Internet,Tipo de establecimiento,Latitud,Longitud,Fecha de incorporaciÛn al DENUE
3664815,24028611161000313000000000U1,ASOCIACION PREPARATORIA INSTITUTO BENEMERITO DE LAS AMERICAS,ASOCIACION PREPARATORIA INSTITUTO BENEMERITO DE LAS AMERICAS AC,611161,Escuelas de educaciÛn media superior del sector privado,0 a 5 personas,CALLE,AVANZADA,CALLE,BARRIO DEL MONTECILLO,CALLE,GARCIA DIEGO,PROLONGACION,NEREO RODRIGUEZ BARRAGAN,90,,,,0,A,COLONIA,SAN PEDRO,,,,78178,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,3088,12,,PREPABENEMERITO-SLP@HOTMAIL.COM,,Fijo,22.15563647,-100.9983035,2010-07
3689770,24028611161000512000000000U8,BACHILLERATO TECNOLOGICO DEL INSTITUTO BILINGUE EJECUTIVO Y PEDAGOGICO DEL POTOSI,,611161,Escuelas de educaciÛn media superior del sector privado,11 a 30 personas,CALLE,AGUSTIN DE ITURBIDE,CALLE,HERRERA,CALLE,MANUEL DEL CONDE,CALLE,MELCHOR OCAMPO,923,,,,0,,COLONIA,CENTRO,,,,78360,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,473,35,4441406027,OLIVIASESMA@HOTMAIL.COM.MX,WWW.IBEPP.EDU.MX,Fijo,22.15000419,-100.9799611,2010-07
8002474,24035611162000083000000000U3,CECYTE,SECRETARIA DE EDUCACION DE GOBIERNO DEL ESTADO ,611162,Escuelas de educaciÛn media superior del sector p˙blico,31 a 50 personas,CALLE,LATERAL SAN LUIS MATEHUALA,CALLE,MIGUEL HIDALGO,CALLE,BENITO JUAREZ,CALLE,2 DE ABRIL,0,SN,,,,,COLONIA,SOLEDA DE GRACIANO SANCHEZ,,,,78430,24,SAN LUIS POTOSÕ        ,35,Soledad de Graciano S·nchez,1,Soledad de Graciano S·nchez,459,35,,,,Fijo,22.18468033,-100.9503114,2019-11
10165047,24028611162000536000000000U5,CECYTE 3NUEVO PROGRESO,CP EFRAIN NI—O CASTELLANOS ,611162,Escuelas de educaciÛn media superior del sector p˙blico,101 a 250 personas,PROLONGACION,SIRIA,CALLE,SINGAPUR,CALLE,TAIWAN,PROLONGACION,PORTUGAL,210,,,,,,COLONIA,LOMAS DE SATELITE,,,,78360,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,3177,13,,,WWW.CECITESLP.EDU,Fijo,22.11080819,-100.9489488,2024-11
3752024,24028611152000024000000000U3,CECYTE PLANTEL 1,ORGANISMO DESCENTRALIZADO DEL GOBIERNO FEDERAL Y ESTATAL ,611162,Escuelas de educaciÛn media superior del sector p˙blico,51 a 100 personas,PROLONGACION,SATELITE SUR,PROLONGACION,SATELITE SUR,CALLE,CALLE DEL JARALITO,CALLE,BENITO JUAREZ,750,,,,0,,COLONIA,LOMA DEL MEZQUITAL,,,,78382,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,3374,22,4448175467,,WWW.CECYTESLP.EDU.MX,Fijo,22.17815365,-101.0154782,2010-07
3671401,24028611162000286000000000U7,CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NO 131 CEBETIS,GOBIERNO FEDERAL ,611162,Escuelas de educaciÛn media superior del sector p˙blico,101 a 250 personas,CALLE,ITALIA,CALLE,VIENA,CALLE,BERNA,CALLE,VIENA,98,,,,0,SN,COLONIA,GENOVEVO RIVAS GUILLN SUR,,,,78437,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,172A,50,,,,Fijo,22.14466473,-100.9342091,2010-07
3675116,24035611152000016000000000U4,CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NO121,GOBIERNO FEDERAL ,611162,Escuelas de educaciÛn media superior del sector p˙blico,101 a 250 personas,CALLE,CONSTITUCION DE 1857,CALLE,FRANCISCO HERNANDEZ,CALLE,LICENCIADO RAFAEL NIETO COMPEAN,CALLE,LICENCIADO RAFAEL NIETO COMPEAN,38,,,,0,,COLONIA,BENITO JUAREZ,,,,78745,24,SAN LUIS POTOSÕ        ,35,Soledad de Graciano S·nchez,1,Soledad de Graciano S·nchez,050A,2,,,,Fijo,22.1582885,-100.9218061,2010-07
10350344,24028611161000752000000000U0,CENTRO DE CAPACITACION EDU MX,CENTRO DE CAPACITACION EDU MX SC,611161,Escuelas de educaciÛn media superior del sector privado,6 a 10 personas,AVENIDA,DAMIAN CARMONA,CALLE,GENERAL IGNACIO MARTINEZ,CALLE,FAUSTO NIETO,CALLE,MARIANO HIDALGO,923,,PLAZA DEL POTOSI,PISO 1,7,,COLONIA,CENTRO,CENTRO Y PLAZA COMERCIAL,PLAZA DEL POTOSI,7,78000,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,350,12,,,,Fijo,22.15783016,-100.9797951,2024-11
3690676,24028611698000051010000000U8,CENTRO DE EDUCACION INTENSIVA PREPARATORIA,,611161,Escuelas de educaciÛn media superior del sector privado,6 a 10 personas,AVENIDA,UNIVERSIDAD,AVENIDA,CONSTITUCION,CALLE,PARRODI,CALLE,MARIANO ABASOLO,684,,,,,,BARRIO,SAN SEBASTIAN,,,,78000,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,3105,29,,,,Fijo,22.15038725,-100.9718981,2010-07
3749721,24028611152000076000000000U3,CENTRO DE ESTUDIOS TECNOLOGICOS INDUSTRIAL Y DE SERVICIOS 125,CETIS 125 ,611162,Escuelas de educaciÛn media superior del sector p˙blico,101 a 250 personas,CALLE,SAN MANUEL,AVENIDA,PANFILO NATERA,CALLE,SAN CARLOS,CALLE,SAN MANUEL,,DOMICILIO CONOCIDO,,,0,,COLONIA,SAUZALITO,,,,78116,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,2643,11,4448230003,CETIS125.DIR@DEGETI.SEM.GOB.MX,CETIS125.EDU.MX,Fijo,22.195241,-101.002963,2010-07
